tip_proprietate,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret
APT,3,65,65,1985,tudor-vladimirescu,314389
CAS,6,554,968,2000,tatarasi,1800000
CAS,6,554,968,2000,tatarasi-nord,1800000
CAS,9,365,750,2004,centru-civic,1500000
CAS,9,530,10000,2011,bucium,1234567
CAS,5,560,1350,1859,copou,1000000
CAS,14,510,3200,1890,tatarasi,800000
CAS,10,510,3200,1890,tatarasi-nord,800000
CAS,7,335,515,2010,bucium,620000
CAS,7,335,515,2010,bucium,620000
CAS,7,415,1260,2015,galata,580000
CAS,7,415,1260,2015,galata,580000
CAS,6,40,1000,2006,holboca,551786
CAS,5,362,675,2005,tatarasi,550000
APT,1,40,40,2020,copou,532800
APT,4,375,375,2021,copou,525000
APT,4,165,165,2020,copou,525000
CAS,7,253,600,2000,moara-de-vant,525000
CAS,7,253,600,2000,moara-de-vant,525000
CAS,6,370,1600,2019,copou,500000
CAS,8,370,1600,2020,pacurari,500000
CAS,6,600,500,2010,centru,500000
CAS,10,461,329,1940,centru,500000
CAS,11,925,4000,2003,tomesti,490000
CAS,10,925,4000,2003,centru,490000
CAS,8,490,500,2002,centru-civic,489000
CAS,10,461,340,1950,centru,475000
CAS,12,400,600,2000,copou,469000
CAS,4,140,376,1930,copou,440000
APT,3,358,358,2020,tudor-vladimirescu,416500
CAS,10,480,1285,2008,bucium,410000
CAS,10,480,1285,2008,centru,410000
CAS,10,320,800,2010,copou,400000
CAS,8,270,700,2017,nicolina,400000
CAS,8,270,700,2017,nicolina,400000
CAS,5,270,700,2016,cug,400000
CAS,10,400,350,2006,tatarasi,400000
CAS,10,400,350,2006,tatarasi-sud,400000
CAS,5,242,1240,2014,periferie,398000
CAS,10,270,1200,2008,sararie,397000
CAS,10,380,271,2019,centru,395000
CAS,10,480,1285,2008,bucium,390000
CAS,10,480,1285,2008,centru,390000
CAS,9,380,900,2010,tatarasi,390000
CAS,4,130,412,2008,copou,390000
CAS,4,130,412,2008,copou,390000
CAS,4,130,412,2008,copou,389000
CAS,6,300,460,2010,valea-lupului,388000
CAS,5,217,2000,2009,popas-pacurari,385000
CAS,5,217,2000,2009,popas-pacurari,385000
CAS,5,217,2000,2009,valea-lupului,385000
CAS,5,217,2000,2009,valea-lupului,385000
CAS,5,365,1000,2006,bucium,385000
APT,4,368.8,368.8,2019,tudor-vladimirescu,380000
CAS,5,350,900,2008,cug,380000
CAS,6,380,850,2010,nicolina,380000
CAS,6,257,845,2008,cug,380000
APT,3,144,144,2015,copou,370000
APT,3,144,144,2015,copou,370000
CAS,5,383,1500,2010,frumoasa,370000
CAS,5,383,1500,2010,bucium,365000
CAS,5,365,1000,2006,bucium,365000
CAS,5,250,2500,2018,pacurari,350000
CAS,4,236,2500,2018,popas-pacurari,350000
CAS,3,309,2430,2018,pacurari,350000
CAS,5,250,2430,2018,popas-pacurari,350000
CAS,6,242,2430,2018,popas-pacurari,350000
CAS,6,242,2430,2018,valea-lupului,350000
CAS,5,240,2430,2016,popas-pacurari,350000
CAS,5,240,2430,2016,valea-lupului,350000
CAS,4,240,2000,2018,pacurari,350000
CAS,4,170,1238,2016,bucium,350000
CAS,4,330,1000,2005,bucium,350000
CAS,4,360,800,2012,bucium,350000
CAS,11,470,450,1900,central,350000
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,4,170,4500,2015,bucium,340000
CAS,5,242,2400,2018,valea-lupului,340000
CAS,4,306,2500,2018,pacurari,320000
CAS,4,137,245,1930,sararie,320000
CAS,4,322,285,2021,tatarasi,315000
CAS,4,322,285,2021,tatarasi-nord,315000
APT,3,65,65,1985,frumoasa,314389
APT,10,404,404,2018,pacurari,310000
CAS,7,200,300,2015,moara-de-vant,310000
CAS,7,200,100,2009,tatarasi,310000
APT,3,199,199,2019,copou,307000
APT,3,199,199,2019,copou,307000
APT,3,199,199,2019,copou,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,290,745,2007,bucium,305000
CAS,6,290,745,2007,bucium,305000
CAS,6,280,745,2004,bucium,300000
CAS,6,280,745,2004,bucium,300000
CAS,6,290,600,2013,tatarasi,300000
CAS,6,290,600,2013,aviatiei,300000
CAS,3,100,150,1959,gara,299999
CAS,6,350,500,2008,popas-pacurari,298000
APT,4,200,200,2016,copou,295000
APT,4,155.43,155.43,2005,copou,295000
