tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
APT,INC,4,12,400,2010,copou,150,https://homezz.ro/camere-de-inchiriat-la-vila-in-copou-2165071.html
APT,INC,1,14,100,1990,copou,91,https://homezz.ro/primesc-in-gazda-una-doua-fete-copou-2467272.html
APT,INC,1,20,120,2000,copou,150,https://homezz.ro/inchiriezcamera-la-vilacopouiasidirect-proprietar-2479405.html
APT,INC,3,82,600,2018,vest,1.000,https://homezz.ro/casa-cu-8-camere-d310-mpzona-rondul-vechi-cug-2017516.html
APT,INC,3,130,700,2018,popas-pacurari,699,https://homezz.ro/vila-moderna-complet-mobilata-si-utilata-soseaua-rediu-2222314.html
APT,INC,4,110,200,2020,popas-pacurari,78.000,https://homezz.ro/vila-in-valea-lupului-4-cam-la-100-metri-de-asfalt-2476428.html
APT,INC,1,13,100,1990,copou,92,https://homezz.ro/primesc-in-gazda-doua-fete-zona-copou-2271509.html
APT,INC,5+,250,500,1971,copou,2.500,https://homezz.ro/inchiriez-casa-cu-teren-2468807.html
APT,INC,4,100,500,2014,miroslava,390,https://homezz.ro/casa-individuala-cu-4-camere-si-500mp-teren-zona-miroslava-2133029.html
APT,INC,3,75,350,2010,copou,350,https://homezz.ro/inchiriere-casa-copou-universitatea-al-iona-cuza-2241364.html
APT,INC,5+,265,430,2000,central,1.700,https://homezz.ro/vila-de-inchiriat-iasi-zona-ultracentrala-2442951.html
