tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
CAS,CMP,4,103,150,2020,miroslava,84900,https://homezz.ro/vila-cu-4-camere-mutare-rapida-aproape-de-centru-miroslav-2420881.html
CAS,CMP,4,110,380,2021,valea-adanca,125000,https://homezz.ro/vila-4-camere-la-asfalt-cu-incalzire-prin-pardoseala-si-semi-2449986.html
CAS,CMP,3,71,112,2015,popas-pacurari,80000,https://homezz.ro/casa-cu-3-camere-aproape-de-mijloacele-de-transport-2420766.html
CAS,CMP,4,110,400,2020,miroslava,114900,https://homezz.ro/vila-individuala-finalizata-in-zona-valea-ursului-mirosla-2440701.html
CAS,CMP,4,97,500,2021,miroslava,86980,https://homezz.ro/comision-0-casa-individuala-valea-ursului-9695-mp-500m-2371420.html
CAS,CMP,4,115,480,2020,copou,107500,https://homezz.ro/casa-individuala-cu-4-camere-parteretaj-breazu-115-mp-2197520.html
CAS,CMP,4,110,300,2021,popas-pacurari,90000,https://homezz.ro/vile-cu-4-camere-incalzire-pardoseala-popas-pacurari-2480912.html
CAS,CMP,4,120,330,2020,copou,97000,https://homezz.ro/casa-individuala-parter-mansarda-breazu-120-mp-2196426.html
CAS,CMP,4,86,310,2020,copou,87000,https://homezz.ro/casa-individuala-parter-breazu-86mp-2196377.html
CAS,CMP,4,110,430,2020,miroslava,97900,https://homezz.ro/vile-4-camere-cu-430-630mp-teren-canalizare-zona-mirosla-2317044.html
CAS,CMP,5,160,350,2020,bucium,130000,https://homezz.ro/casa-5-camere-160-mp-barnova-2221171.html
CAS,CMP,4,119,220,2020,galata,125000,https://homezz.ro/vila-tip-duplex-complex-esq-village-galata-premium-2284514.html
CAS,CMP,4,118,220,2020,galata,130000,https://homezz.ro/vila-individuala-esq-village-galata-premium-2284501.html
CAS,CMP,4,118,400,2020,galata,160000,https://homezz.ro/vila-individuala-esq-village-galata-premium-2284510.html
CAS,CMP,4,120,350,2021,popas-pacurari,165000,https://homezz.ro/vila-individuala-cu-un-design-aparte-popas-pacurari-2367169.html
CAS,CMP,5+,390,400,1996,copou,320000,https://homezz.ro/casa-duplex-copou-390-mp-2198069.html
CAS,CMP,4,100,270,2021,popas-pacurari,80000,https://homezz.ro/corp-duplex-4-camere-100-mp-pacurari-vlupului-comisio-2158116.html
CAS,CMP,3,84,340,2020,miroslava,75000,https://homezz.ro/casa-tip-duplex-3-camere-cu-posibilitatea-de-mansardare-2486159.html
CAS,CMP,5+,554,968,2000,tatarasi,1800000,https://homezz.ro/oportunitate-investitie-vila-tatarasi-dpe-968-mp-teren-2457044.html
CAS,CMP,4,104,350,2021,popas-pacurari,105000,https://homezz.ro/casa-single-4-camere-104-mp-utili-v-lupului-comision-0-1708745.html
CAS,CMP,4,85,400,2021,miroslava,85000,https://homezz.ro/casa-4-camere-430mp-teren-horpaz-cu-canalizare-2488534.html
CAS,CMP,3,90,197,1947,podul-de-fier,104900,https://homezz.ro/casa-4-camere-podu-de-fier-comision-0-2436446.html
CAS,CMP,4,100,270,2021,popas-pacurari,80000,https://homezz.ro/corp-triplex-4-camere-105-mp-popas-pacurari-2010878.html
CAS,CMP,5+,410,900,2009,frumoasa,240000,https://homezz.ro/vila-frumoasa-cu-teren-2447679.html
CAS,CMP,4,120,500,2020,popas-pacurari,110000,https://homezz.ro/casa-cu-4-camere-si-500mp-teren-popas-pacurari-1870061.html
CAS,CMP,5,220,635,2003,bucium,140000,https://homezz.ro/vila-pem-bucium-trei-sarmale-2159955.html
CAS,CMP,4,110,600,2021,lunca-cetatuii,126000,https://homezz.ro/vila-superba-4-camere-lux-lunca-cetatuii-2296137.html
