tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
CAS,INC,4,110,300,2018,pacurari,650 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/pacurari/casa-de-inchiriat-4-camere-X3N501030
CAS,INC,4,130,300,2020,valea-adanca,650 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/valea-adanca/casa-de-inchiriat-4-camere-X3V41107M
CAS,INC,5,160,350,2015,nicolina,1999 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/nicolina/casa-de-inchiriat-5-camere-X4Q201077
CAS,INC,3,90,110,2020,cug,550 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/cug/casa-de-inchiriat-3-camere-X3N501037
CAS,INC,4,160,500,2020,holboca,450 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/holboca/casa-de-inchiriat-4-camere-X7N21100F
CAS,INC,4,235,377,2010,moara-de-vant,1500 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/moara-de-vant/casa-de-inchiriat-4-camere-X3V41108B
CAS,INC,3,90,100,2019,nicolina,500 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/nicolina/casa-de-inchiriat-3-camere-X3N501038
CAS,INC,4,150,200,2015,tatarasi,1400 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/tatarasi/casa-de-inchiriat-4-camere-X3N501039
CAS,INC,3,76,50,2011,miroslava,360 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/miroslava/casa-de-inchiriat-3-camere-X3N50102S
CAS,INC,3,160,700,2010,pacurari,590 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/pacurari/casa-de-inchiriat-3-camere-X7J301004
CAS,INC,3,78,100,2018,central,530 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/central/casa-de-inchiriat-3-camere-X3V41107T
CAS,INC,5,235,377,2010,moara-de-vant,1500 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/moara-de-vant/casa-de-inchiriat-5-camere-X4Q201079
CAS,INC,5,237,378,2010,tatarasi,1700 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/tatarasi/casa-de-inchiriat-5-camere-X95I1102I
CAS,INC,11,580,2000,2010,bucium,5500 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/bucium/casa-de-inchiriat-11-camere-X3V41107F
CAS,INC,4,110,350,2019,pacurari,600 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/pacurari/casa-de-inchiriat-4-camere-X3N50102V
CAS,INC,7,200,700,2017,bucium,650 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/bucium/casa-de-inchiriat-7-camere-X3N501007
CAS,INC,4,100,500,2014,miroslava,390 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/miroslava/casa-de-inchiriat-4-camere-XB881102U
CAS,INC,4,110,500,2019,popas-pacurari,700 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/popas-pacurari/casa-de-inchiriat-4-camere-X3N501036
CAS,INC,5,330,500,2007,nicolina,750 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/nicolina/casa-de-inchiriat-5-camere-X3N501032
CAS,INC,4,100,240,2015,copou,649 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/copou/casa-de-inchiriat-4-camere-X3N50102O
CAS,INC,4,80,237,2011,copou,750 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/copou/casa-de-inchiriat-4-camere-X3N501035
CAS,INC,2,60,150,2019,frumoasa,399 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/frumoasa/casa-de-inchiriat-2-camere-X4Q201070
CAS,INC,3,130,700,2017,popas-pacurari,699 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/popas-pacurari/casa-de-inchiriat-3-camere-X4A001016
CAS,INC,4,219,555,2008,pacurari,990 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/pacurari/casa-de-inchiriat-4-camere-XV0601S33
CAS,INC,4,140,700,2008,tatarasi,900 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/tatarasi/casa-de-inchiriat-4-camere-X3N50102Q
CAS,INC,4,100,250,2018,visani,650 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/visani/casa-de-inchiriat-4-camere-X4Q201084
CAS,INC,2,60,200,1959,podul-de-fier,700 ,https://www.imobiliare.ro/inchirieri-case-vile/iasi/podul-de-fier/casa-de-inchiriat-2-camere-X9I501004
CAS,INC,4,100,200,2021,visan,85000 ,https://www.imobiliare.ro/vanzare-case-vile/iasi/visan/casa-de-vanzare-sau-de-inchiriat-4-camere-X7DH1100K
