tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
CAS,INC,5,81,350,1980,gara,1000,https://www.storia.ro/ro/oferta/spatii-birouri-sediu-firma-20mp-si-81mp-zona-garii-str-arcu-IDhIwt.html
CAS,INC,4,110,150,2020,cug,400,https://www.storia.ro/ro/oferta/casa-4-cam-valea-adanca-str-pepinierei-prima-inchiriere-IDmkzk.html
CAS,INC,4,150,800,2010,tatarasi-nord,1500,https://www.storia.ro/ro/oferta/tatarasi-vila-moderna-cu-terasa-si-piscina-IDmYV2.html
CAS,INC,4,235,377,2010,moara-de-vant,1500,https://www.storia.ro/ro/oferta/casa-4-camere-de-inchiriat-moara-de-vant-IDmXRM.html
CAS,INC,10 sau mai multe,580,2 000,2010,bucium,5500,https://www.storia.ro/ro/oferta/inchiriez-casa-vila-d-p-1-2-m-zona-bucium-IDmsiQ.html
CAS,INC,5,160,350,2015,nicolina-1,1999,https://www.storia.ro/ro/oferta/nicolina-selgros-vila-5-camere-inchiriere-perioada-scurta141847-IDmJsX.html
CAS,INC,4,140,500,2019,bucium,750,https://www.storia.ro/ro/oferta/casa-spre-inchiriere-zona-bucium-lidl-750-euro-pe-luna-IDn165.html
CAS,INC,5,200,250,2010,nicolina-2,1100,https://www.storia.ro/ro/oferta/inchiriere-vila-5-camere-nicolina-selgros-IDiRjt.html
CAS,INC,4,110,230,2021,manta-rosie,950,https://www.storia.ro/ro/oferta/bucium-casa-spatioasa-p-e-IDmWEy.html
CAS,INC,4,100,300,2020,bucium,600,https://www.storia.ro/ro/oferta/vila-bucium-trei-sarmale-1-5km-mobilata-utilata-600-euro-luna-IDmXNI.html
CAS,INC,3,100,400,2020,aviatiei,500,https://www.storia.ro/ro/oferta/tatarasi-casa-individuala-mobilata-si-utilata-IDmBL7.html
CAS,INC,4,236,377,2008,moara-de-vant,1550,https://www.storia.ro/ro/oferta/moara-de-vant-vila-premium-suprafata-generoasa-IDmWq9.html
CAS,INC,5,236,377,2010,moara-de-vant,1700,https://www.storia.ro/ro/oferta/casa-de-inchiriat-strada-nicolae-costin-iasi-IDmmrn.html
CAS,INC,4,210,500,2019,cug,850,https://www.storia.ro/ro/oferta/inchiriere-vila-cug-mobilata-complet-IDi8YV.html
CAS,INC,5,235,400,2017,moara-de-vant,1700,https://www.storia.ro/ro/oferta/vila-noua-de-lux-mobilata-si-utilata-complet-moara-de-vant-iasi-IDmjCl.html
CAS,INC,8,176,383,1980,copou,2000,https://www.storia.ro/ro/oferta/copou-casa-individuala-superba-renovata-recent-IDmzo0.html
CAS,INC,3,78,100,2018,strada-bazei,530,https://www.storia.ro/ro/oferta/inchiriez-casa-vila-p-e-m-zona-valea-adanca-IDmGjR.html
CAS,INC,10 sau mai multe,220,220,2000,copou,3500,https://www.storia.ro/ro/oferta/vila-situata-in-zona-copou-langa-liceul-negruzzi-IDlMuT.html
CAS,INC,2,60,150,2019,frumoasa,399,https://www.storia.ro/ro/oferta/casa-2-camere-frumoasa-60-metri-cod141759-IDmG5O.html
