tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
CAS,INC,1,20,120,2000,copou,150,https://homezz.ro/inchiriezcamera-la-vilacopouiasidirect-proprietar-2479405.html
CAS,INC,4,100,500,2014,miroslava,390,https://homezz.ro/casa-individuala-cu-4-camere-si-500mp-teren-zona-miroslava-2133029.html
CAS,CMP,5,160,350,2020,bucium,130000,https://homezz.ro/casa-5-camere-160-mp-barnova-2221171.html
CAS,INC,3,82,600,2018,vest,1000,https://homezz.ro/casa-cu-8-camere-d310-mpzona-rondul-vechi-cug-2017516.html
CAS,INC,4,110,200,2020,popas-pacurari,78000,https://homezz.ro/vila-in-valea-lupului-4-cam-la-100-metri-de-asfalt-2476428.html
CAS,INC,1,13,100,1990,copou,92,https://homezz.ro/primesc-in-gazda-doua-fete-zona-copou-2271509.html
CAS,INC,5,235,377,2018,moara-de-vant,1700,https://homezz.ro/vila-lux-de-inchiriat-moara-de-vant-2429225.html
CAS,INC,4,12,400,2010,copou,150,https://homezz.ro/camere-de-inchiriat-la-vila-in-copou-2165071.html
CAS,INC,5,100,520,2019,miroslava,299,https://homezz.ro/casa-tip-duplex-in-com-miroslava-vorovesti-2502765.html
CAS,CMP,4,110,270,2021,popas-pacurari,80000,https://homezz.ro/vila-cu-4-camere-280mp-teren-popas-pacurari-2128038.html
CAS,INC,3,75,350,2010,copou,350,https://homezz.ro/inchiriere-casa-copou-universitatea-al-iona-cuza-2241364.html
CAS,CMP,4,118,620,2017,valea-adanca,150000,https://homezz.ro/vila-mobilata-si-utilata-cu-620mp-teren-2411516.html
APT,INC,1,43,43,2019,tudor-vladimirescu,300,https://homezz.ro/apartamaent-cu-o-camera-tudor-vladimirescu-43-mp-2374045.html
CAS,CMP,4,110,250,2019,valea-adanca,80000,https://homezz.ro/vila-duplex-finalizata-valea-adanca-4-camere-2458518.html
CAS,CMP,4,110,400,2021,lunca-cetatuii,94000,https://homezz.ro/casa-cu-4-camere-beci-zona-lunca-cetatuii-2406482.html
APT,CMP,2,50,50,2017,tudor-vladimirescu,94000,https://homezz.ro/2-camere-conest-residence-2467355.html
APT,CMP,3,69,69,2018,moara-de-vant,85000,https://homezz.ro/3-camere-moara-de-vant-2488562.html
APT,CMP,1,33,33,2020,lunca-cetatuii,29500,https://homezz.ro/apartament-o-camera-bloc-nou-utilat-si-mobilat-2487693.html
APT,CMP,2,56,56,1991,lunca-cetatuii,41000,https://homezz.ro/ap2-cd-et3-60mp-ctac-lunca-cetatuii-2488779.html
APT,CMP,2,59,59,1980,gara,99000,https://homezz.ro/2-camere-gara-et-intermediar-2487780.html
APT,CMP,2,60,60,2013,tudor-vladimirescu,72000,https://homezz.ro/2-camere-tudor-bloc-nou-2488529.html
APT,CMP,2,42,42,1980,metalurgie,48000,https://homezz.ro/apartament-2-camere-sd-gradinari-2488330.html
APT,CMP,2,55,55,2019,cug,56000,https://homezz.ro/persoana-fizica-ap-2-cam-d-nicolina-strugurilor-2493062.html
APT,CMP,2,48,48,2020,cug,50500,https://homezz.ro/ap-2-cam-d-incalz-pard-mutare-imediata-cug-2205747.html
APT,CMP,2,65,65,2020,pacurari,59500,https://homezz.ro/ap-2-cam-mutare-rapida-lux-zona-pacurari-2147563.html
APT,CMP,2,55,55,2020,cug,55000,https://homezz.ro/ap-2-camere-incalz-pard-finisaje-premium-cug-1988164.html
APT,CMP,2,60,60,2019,cug,55300,https://homezz.ro/ap-2-cam-mutare-imediata-et-int-zona-cug-1988136.html
APT,CMP,2,45,45,2019,cug,57400,https://homezz.ro/ap-2-cam-mutare-imediata-bulevard-zona-cug-1989117.html
