tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
CAS,CMP,1,47,47,2021,tudor-vladimirescu,61000,https://www.imobiliare.ro/vanzare-garsoniere/iasi/tudor-vladimirescu/garsoniera-de-vanzare-X907100SS
APT,CMP,2,55.82,55.82,2020,copou,64200,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-2-camere-XAHB00006
APT,CMP,2,52,52,2020,cug,52500,https://www.imobiliare.ro/vanzare-apartamente/iasi/cug/apartament-de-vanzare-2-camere-X5AK101JS
APT,CMP,2,60,60,2020,pacurari,69000,https://www.imobiliare.ro/vanzare-apartamente/iasi/pacurari/apartament-de-vanzare-2-camere-X5Q110052
APT,CMP,2,64,64,2021,pacurari,55000,https://www.imobiliare.ro/vanzare-apartamente/iasi/pacurari/apartament-de-vanzare-2-camere-XATQ0000M
APT,CMP,2,69,69,2020,pacurari,57300,https://www.imobiliare.ro/vanzare-apartamente/iasi/pacurari/apartament-de-vanzare-2-camere-XATQ0000S
APT,CMP,2,55.82,55.82,2022,copou,64200,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-2-camere-XAHB00007
CAS,CMP,1,56,56,2020,copou,64400,https://www.imobiliare.ro/vanzare-garsoniere/iasi/copou/garsoniera-de-vanzare-XAHB0000A
APT,CMP,3,115,115,2022,copou,133500,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-3-camere-XAHB00005
CAS,CMP,1,41,41,2020,copou,67700,https://www.imobiliare.ro/vanzare-garsoniere/iasi/copou/garsoniera-de-vanzare-XBJM00002
APT,CMP,2,65,65,2020,copou,107300,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-2-camere-XBJM00001
APT,CMP,2,60.85,60.85,2021,copou,67000,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-2-camere-XAHB0000L
CAS,INC,3,90,110,2020,cug,550,https://www.imobiliare.ro/inchirieri-case-vile/iasi/cug/casa-de-inchiriat-3-camere-X3N501037
APT,CMP,3,73,73,2020,copou,120500,https://www.imobiliare.ro/vanzare-apartamente/iasi/copou/apartament-de-vanzare-3-camere-XBJM00003
CAS,INC,8,176,383,1980,copou,2000,https://www.imobiliare.ro/inchirieri-case-vile/iasi/copou/casa-de-inchiriat-8-camere-X0BG1104A
CAS,INC,2,50,100,2000,podu-ros,350,https://www.imobiliare.ro/inchirieri-case-vile/iasi/podu-ros/casa-de-inchiriat-2-camere-X0BG1104B
